comment	Top_Class	HateSpeech_Confidence	Ofensive_Language_Confidence	Neither_Confidence
ale ale al	neither	0.046917967961476965	0.20367963755460453	0.7494023944839184
trklegend trklegend trklegend trklegend	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
report  snake pl	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
seriouspigeon lost  points  roulette     points trkbad	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkgasp trkbronz	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
kekw	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yo	offensive_language	0.04010381111145228	0.5271105317972344	0.4327856570913131
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
amfizz went      points pogchamp     points trkgood	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yo wassup guy	neither	0.2216366379841235	0.20671533871324999	0.5716480233026265
trkback trkback trkback	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
holdmylatte went    lost every single one    points trkbad trkbad	neither	0.0387686407837288	0.3555448659455742	0.6056864932706969
eyo eyo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
squezylemon   points  roulette     points trkgood	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 back	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
addxaisha lost  points  roulette     points trkbad	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention    roulette  least  points	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
wassip wassimf	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
let  hold  real quick	neither	0.02054753086145524	0.47723218383121874	0.5022202853073261
im waiting  man	neither	0.03856557634058894	0.45000348384607164	0.5114309398133394
 dawg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
grow balls guys come  gamble 	neither	0.04509730040069817	0.46535348969587864	0.4895492099034232
yeah  	offensive_language	0.013968601452186464	0.5182923869769311	0.4677390115708824
mocilious went      points pogchamp     points trkgood	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el king tucko	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
roulett	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
waiting   man thruc	neither	0.039673752339691705	0.4216168490646239	0.5387093985956843
uptim	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trick   live   mins  sec	neither	0.042969654555723706	0.3291666210014131	0.6278637244428631
 think   shit	offensive_language	0.041837459636838936	0.9581607992431141	1.7411200469173492e-06
el truco papi  back	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gambke 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
la cukaracha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mrkniferino lost  points  roulette     points trkbad	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkwave trkwave trkwav	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
twistedgost   points  roulette     points trkgood	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
filimonchik went      points pogchamp     points trkgood	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gambl	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yeet	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart trkheart	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkchamp trkchamp trkchamp trkchamp trkchamp trkgasp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
thnas lost  points  roulette     points trkbad	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
gamble 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 needs   cane games  rly miss 	neither	0.03237869171889019	0.3328093387759824	0.6348119695051274
wassup trick	neither	0.21194502529862516	0.145358253436175	0.6426967212651999
mention    roulette  least  points	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 must  forgot	neither	0.04062300464886229	0.31052159351479597	0.6488554018363418
roulette 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el thruck	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yow trick	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 need  commit	neither	0.039240398655180794	0.32859404631143735	0.6321655550333818
el trollo inc	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trick   live   mins  sec	neither	0.042969654555723706	0.3291666210014131	0.6278637244428631
 zzrot gone tet	neither	0.039260305037624	0.3336501622801024	0.6270895326822736
yet	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
followag	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
watch trickg latest youtube video sanguine blade trundle smacking   max speed  trickg  	neither	0.045237308883490236	0.2816352433883317	0.673127447728178
karsten molby  	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el trucko   finest	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
zzro gon	offensive_language	0.008906086267117806	0.5691035106701685	0.42199040306271357
mention long gone  	neither	0.039121180889443566	0.3299923388969769	0.6308864802135795
point	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 crakn	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 prime subscriptions count  toysfortots	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
timefordtim	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 havent forgot	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trksleeper	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 best way  support  stream   subscribing subbing gets  adfree viewing  sub emotes sub luck  giveaways immunity  bot timeouts ability  play  sub games   subscribe  	neither	0.048293555745699566	0.324975371354968	0.6267310728993324
wssub	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
tylerlul	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 hope  comes back faster   dad  went away years ago	neither	0.06210137958288904	0.24369648856420834	0.6942021318529027
yike	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yeet	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
kewk	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
oof	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yike	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention good on	neither	0.035307432783086366	0.3471633516239551	0.6175292155929586
trkgj	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lel	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 miss  dogg biblethump	neither	0.032672026204819536	0.33270844759524165	0.6346195261999388
tylerha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
check  udotgg  tier lists pro builds best runes counter picks  much   	neither	0.036920423629136265	0.3270822901238367	0.6359972862470269
trkcreep trkcreep trkcreep trkcreep	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
da dawg	offensive_language	0.09255888539351143	0.498786957555492	0.40865415705099656
funny guy right 	neither	0.03657807886464631	0.3819493446708476	0.5814725764645061
  da dawg	offensive_language	0.09255888539351143	0.498786957555492	0.40865415705099656
 gotta feeling  inting tonight	neither	0.034963092834542284	0.33771670781175517	0.6273201993537026
 back	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkmald trkmald trkmald	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
d	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
doug	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkboomer trkboomer trkboomer trkboomer trklos	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 back	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkboomer eating nuts trkboomer multigrain bars trkboomer prune juice  tea trkboomer  guessed  right trkboomer   boomer trickg trkboom	neither	0.03886362802629338	0.3418877239018431	0.6192486480718636
last day babi	neither	0.0402427791336616	0.3070093498647117	0.6527478710016268
trucho el	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
good evening el thrucc	neither	0.038867464030180966	0.3305775524315655	0.6305549835382536
 hit chest today	neither	0.03796858313550969	0.30752341791995463	0.6545079989445356
pepe	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
tylerssj	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
almost k pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
oh shit   fir	offensive_language	0.04878944944667199	0.9496758605716896	0.0015346899816383929
el truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkkiss trkkiss trkkiss trkkiss trkboomer trkboom	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkcreep trkgj trkgj trkgj trkgj trkgj	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
la cocorucha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el trucko	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el truco  	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lets goo	neither	0.0381375099945381	0.3527069244228318	0.6091555655826302
wassup thruc	neither	0.33529425248498695	0.08556156890646638	0.5791441786085466
raretrick	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 dawg woke 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
   place  	neither	0.04520075661515818	0.23282519566613005	0.7219740477187118
heyguy	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el trolo papi  back	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mary christma	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
oo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
insanetarium subscribed  twitch prime 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
insanetarium  subscribed trklegend trklegend	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
insanetarium sub shared rewards   others  chat 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention    hairline 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hi trick  algeria 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkboomer	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el truco headbang	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
b b b b	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 face  shity music 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lacucuracha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkrat trkrat trkrat	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
xd	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
arigatonas arigatona	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hows  going big dawg	neither	0.025181908459871404	0.4054621189988749	0.5693559725412536
cucuracha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lul	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkboomer trkboomer trkboomer trkboom	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
dozamen subscribed  twitch prime 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
dozamen  subscribed trklegend trklegend	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hi  italy truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
dozamen sub shared rewards   others  chat 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
ariiiiiibbbaaaaaa	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hola	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
play  cockroach	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  lit	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
enjoying  stream make sure  follow 	neither	0.03517243873733758	0.42942340312252003	0.5354041581401423
el   truckowasuuuuup	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
marihuana lalalallala	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
donat	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
visit donate  minimum   tt	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
go nasu	neither	0.04276165647058889	0.34190019769565555	0.6153381458337556
pagchomp pagchomp pagchomp pagchomp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
la maldita cucaracha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
wutfac	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkg trkg trkg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
la cucaracha el truko trkchamp trkkiss trkchamp trkkiss trkchamp trkkiss trkchamp trkchamp trkkiss	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pepejam	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pogyou pogyou pogyou pogy	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hahaball hahaball hahabal	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
chariti	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
donate  holidaypresent trickg annual toystots charity streams   december thth  always thank    generosity     possible without  trkheart holidaypres	neither	0.03840093555205885	0.360395923133287	0.6012031413146542
mention thought udyr  trash	neither	0.04350294271944501	0.07422106993396482	0.8822759873465902
  coming  godyro mention 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lalalalallaala papapaapaapparparpapra	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
timezones   fucked dosent stop   watching tho lul	offensive_language	0.038201658972355244	0.6907443640669294	0.2710539769607154
kekw kekw kekw kekw	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
go  tenacity  run	neither	0.041309668546440075	0.33682711745914334	0.6218632139944167
seemsgood seemsgood	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
udyr trash	neither	0.04230374604867755	0.016764511774476527	0.9409317421768459
truco  serbia	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
look  theuir team	neither	0.04221694849285736	0.3294255111322229	0.6283575403749198
 miss lan games truco c	neither	0.0332865013409748	0.33249710141879035	0.6342163972402349
 got school  like  minut	neither	0.05549068816668526	0.43268104186167267	0.5118282699716421
la kukuracha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
play nasu	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
cucarascha pepodance pepodance pepod	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
click  link  get amazon prime free   days   free twitch sub trky	neither	0.039196581330240586	0.3347317199000231	0.6260716987697363
la cucaracha con el truco 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hey trick play da dow next   needs 	neither	0.06363306800067445	0.43176375641142467	0.504603175587901
bro	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
el truko	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  cockroach	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
santa trick 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  germany trkchamp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
   hairline tho  see 	neither	0.03554295864634856	0.33913233553652106	0.6253247058171305
   cute face plx 	neither	0.042184345074686984	0.28402157171474207	0.673794083210571
trksmile trksmile trksmil	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
la cucaracha	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
    trkchamp trkchamp trkchamp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
batchest batchest batchest batchest batchest batchest batchest	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  sing along	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 sewer rat pog trkrat trkrat trkrat trkrat trkrat trkrat trkrat trkrat	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
   face  wanna hear   love 	neither	0.03637533389714762	0.3447332387191882	0.6188914273836642
  sweden	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hi truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
cucaracha trkg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
