comment
Trick2g is now live! Streaming League of Legends:
EL TRUCO Pog
i love you
fk this snake
ayyy
FeelsBad when your avatar has a better hairline than yourself
trkChamp
wake up pog
hi
Ayyyyy
Wassup chat
pog
never clicked so fast in my life
ek truco
WE DEM BOYS
wassup my man thruc
First
poog
Y’a know
nope
we backkk
Now is not eny more eltruco
trkBoomer trkBoomer trkBoomer trkBoomer trkBoomer
ayy its el truc
The dawg
Is ell troolllloooooooo
@itsmfkenster good. You?
trkBoomer trkBoomer
whats up N11gga
ALE ALE ALE
trkLegend trkLegend trkLegend trkLegend
Report this Snake pls
hi
!gamble 100
SeriousPigeon lost 100 Points in roulette and now has 17244 Points! trkBad
trkGasp trkBronze
kekw
yo
!gamble all
AmFizz went all in and won 175 Points PogChamp they now have 350 Points trkGood
yo wassup guys
trkBack trkBack trkBack
!gamble all
holdmylatte went all in and lost every single one of their 2330 Points trkBad trkBad
Eyo eyo
!gamble 500
Squeeezylemon won 500 Points in roulette and now has 77920 Points! trkGood
WE BACK
!gamble 50%
AddxAisha lost 9484 Points in roulette and now has 9485 Points! trkBad
!gamble all
@jacobm07, you have to roulette at least 100 Points.
wassip wassimf
LET ME HOLD THAT REAL QUICK
im waiting ma man
THE DAWG
grow balls guys come on gamble all
yeah me too
!gamble all
Mocilious went all in and won 10575 Points PogChamp they now have 21150 Points trkGood
el king tuckooooo
!roulette
!gamble all
waiting for ma man Thruc
!uptime
Trick has been live for 3 mins 55 secs
I think he is shiting
el truco papi is back
!gambke 2000
El truco
la cukaracha
!gamble 10000
MrKniferino lost 10000 Points in roulette and now has 115085 Points! trkBad
trkWave trkWave trkWave
!gamble 2000
TwistedGost won 2000 Points in roulette and now has 140510 Points! trkGood
!gamble all
Filimonchik went all in and won 600 Points PogChamp they now have 1200 Points trkGood
hi
!gamble 100%
Pog
!gamble
!gamble all
Yeet
trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart trkHeart
trkChamp trkChamp trkChamp trkChamp trkChamp trkGasp
<3
!gamble 60%
thnas lost 192 Points in roulette and now has 128 Points! trkBad
!gamble 5
we needs some d cane games i rly miss that
wassup trick
@essqoo, you have to roulette at least 100 Points.
THEY MUST HAVE FORGOT
!roulette 500
!gamble
EL THRUCK
yow trick
!gamble all
i need some commitment
EL TROLLO INC
!uptime
Trick has been live for 5 mins 1 sec
Is zzrot gone tet
Yet*
!followage
Watch Trick2g's latest YouTube video: SANGUINE BLADE TRUNDLE, SMACKING THEM AT MAX SPEED - Trick2G - https://youtu.be/OafbcOBCh8w
KARSTEN MOLBY HERE ?
el trucko at its finest
!gamble
ZZRO GONEEE
@poople62 long gone by now
!points
what's crakn
Do Prime subscriptions count to ToysForTots?
1TIMEFORD1TIME
!gamble
WE HAVENT FORGOT
Truco
trkSleeper
The best way to support the stream is by subscribing! Subbing gets you Ad-Free viewing, 50+ sub emotes, sub luck in giveaways, immunity to bot timeouts, ability to play in sub games + more! Subscribe here: https://www.twitch.tv/products/trick2g/ticket
wssub
tyler1LUL
I hope he comes back faster than my dad who went away years ago..
YIKES
yeet
KEWK
oof
yikes
@finapattaar good one
oof
trkGJ
lel
i miss the dogg BibleThump
tyler1HA
Check out U(dot)gg for Tier Lists, Pro Builds, best runes, counter picks and much more → https://u.gg/?utm_source=Twitch&utm_campaign=Trick2G
trkCreep trkCreep trkCreep trkCreep
DA DAWG?
funny guy right here
where is da dawg
i gotta feeling he inting tonight
we backkkk
trkMald trkMald trkMald
d
ddddd
doug
trkBoomer trkBoomer trkBoomer trkBoomer trkLoser
we back
trkBoomer Eating nuts trkBoomer Multigrain bars trkBoomer Prune juice and Tea trkBoomer You guessed it right trkBoomer I'm the boomer Trick2g trkBoomer
last day baby
TRUCHO EL
Good evening el thrucc
WE HIT CHEST TODAY???
pepeD
tyler1SSJ
almost 20K Pog
OH SHIT this that fire
EL TRUCO
